Code de la commune ou de l’arrondissement;Nom de la commune ou de l’arrondissement;Préfixe (cadastre);Section (cadastre);Numéro de plan (cadastre);Numéro de voirie (parcelle);Indice de répétition (parcelle);Code MAJIC de la voie (parcelle);Code Rivoli de la voie (parcelle);Nature de la voie (parcelle);Nom de la voie (parcelle);Contenance (parcelle);Subdivision fiscale (parcelle);Code de la nature de culture (SUF);Contenance (SUF);Numéro MAJIC du propriétaire;Numéro SIREN du propriétaire;Code du groupe de la personne morale (propriétaire);Code de la forme juridique (propriétaire);Dénomination (propriétaire);Adresse;Point géographique;Signification du code du droit (propriétaire du local ou de la parcelle);Groupe de la personne morale (propriétaire);label_forme_juridique_proprietaire;Nature de culture;MORALE
21661;VELARS-SUR-OUCHE;;A;0039;;;00072;B067;;BOIS DU CHEMIN BLANC;13400;;BS;13400;P99999;U23730900;1;7113;ETAT PAR DIRECTION DE L IMMOBILIER DE L ETAT;BOIS DU CHEMIN BLANC;47.313972, 4.912645;Propriétaire;État;Ministère;Taillis sous Futaies;216610A0039
16015;ANGOULEME;;CI;0117;9001;;00723;3080;RUE;DU PERE MARQUETTE;4464;L;S;500;PBBF4Q;U26027987;0;9900;STE L EVEQUE PDT EGLISE JESUS CHRIST DES ST DU DERNIER JOUR;9001  RUE DU PERE MARQUETTE;45.636798, 0.151634;Propriétaire;Personnes morales non remarquables;Autre personne morale de droit privé;Sols;16015CI0117
21065;BESSEY-EN-CHAUME;;A;1046;;;00007;B007;;BOIS CHAMBARD;10852;;BS;10852;PBCGTG;212100655;4;7210;COMMUNE DE BESSEY EN CHAUME;BOIS CHAMBARD;47.08894, 4.730092;Propriétaire;Commune;Commune et commune nouvelle;Taillis sous Futaies;210650A1046
21485;PLOMBIERES-LES-DIJON;;AW;0136;;;00030;B029;;COMBE AUX OEUFS;1470;;T;1470;P99999;U23730900;1;7113;ETAT PAR DIRECTION DE L IMMOBILIER DE L ETAT;COMBE AUX OEUFS;47.329896, 4.983093;Propriétaire;État;Ministère;Terre;21485AW0136
16097;CHERVES RICHEMONT;;A;0147;;;00110;B110;;CHATEAU CHESNEL;10590;;BP;10590;PBCN7K;391928009;0;6534;DU CHATEAU CHESNEL;CHATEAU CHESNEL;45.751957, -0.367713;Propriétaire;Personnes morales non remarquables;Groupement foncier agricole;Peupleraies;160970A0147
21395;MASSINGY-LES-VITTEAUX;;AB;0130;;;00060;B060;;LE VILLAGE;333;;L;333;PBC6JD;212103956;4;7210;COMMUNE DE MASSINGY-LES-VITTEAUX;LE VILLAGE;47.399342, 4.581384;Propriétaire;Commune;Commune et commune nouvelle;Landes;21395AB0130
21384;MAREY-LES-FUSSEY;;ZB;0079;;;00034;B034;;LA COMBE LAMBOIS;4090;;S;4090;PBDNJF;212103840;4;7210;COMMUNE DE MAREY LES FUSSEY;LA COMBE LAMBOIS;47.127106, 4.905408;Propriétaire;Commune;Commune et commune nouvelle;Sols;21384ZB0079
16212;MASSIGNAC;;E;0875;;;00061;B061;;LES PELEES;1456;;BT;1456;PBBBK7;211602123;4;7210;COMMUNE DE MASSIGNAC;LES PELEES;45.785231, 0.657099;Propriétaire;Commune;Commune et commune nouvelle;Taillis simples;162120E0875
21508;PRENOIS;;A;0010;;;00010;B010;;BOIS DE RABOT;155691;;BS;155691;PBDJF6;538374695;0;6536;GROUPEMENT FORESTIER DU BOIS DE RABOT;BOIS DE RABOT;44.731208, 0.051121;Propriétaire;Personnes morales non remarquables;Groupement forestier;Taillis sous Futaies;215080A0010
21255;ETAULES;;ZB;0026;;;00027;B027;;DESSUS DES COTES;272;;L;272;PBCCGT;212102552;4;7210;COMMUNE D ETAULES;DESSUS DES COTES;49.832711, 1.181639;Propriétaire;Commune;Commune et commune nouvelle;Landes;21255ZB0026
