Code du département;Code direction;Code de la commune ou de l’arrondissement;Nom de la commune ou de l’arrondissement;Préfixe (cadastre);Section (cadastre);Numéro de plan (cadastre);Numéro de voirie (parcelle);Indice de répétition (parcelle);Code MAJIC de la voie (parcelle);Code Rivoli de la voie (parcelle);Nature de la voie (parcelle);Nom de la voie (parcelle);Contenance (parcelle);Subdivision fiscale (parcelle);Code de la nature de culture (SUF);Contenance (SUF);Code du droit exercé par le propriétaire (parcelle);Numéro MAJIC du propriétaire;Numéro SIREN du propriétaire;Code du groupe de la personne morale (propriétaire);Code de la forme juridique (propriétaire);Abréviation de la forme juridique (propriétaire);Dénomination (propriétaire);Année;Adresse;Point géographique;Signification du code du droit (propriétaire du local ou de la parcelle);Groupe de la personne morale (propriétaire);label_forme_juridique_proprietaire;Nature de culture;Code Officiel EPCI;Nom Officiel EPCI;Code Officiel Région;Nom Officiel Région;Nom Officiel Département
16;0;16404;VIEUX-RUFFEC;;AC;0058;;;00131;B131;;LES LANDES;2833;;BT;2833;P;PBCBFD;323297168;0;6534;GFA;DE LA COMBE;2020;LES LANDES;46.015989, 0.39061;Propriétaire;Personnes morales non remarquables;Groupement foncier agricole;Taillis simples;200072049;CC de Charente Limousine;75;Nouvelle-Aquitaine;Charente
21;0;21710;VITTEAUX;;F;0014;;;00122;B122;;LES ROMPEES;6310;;L;6310;P;PBDFWK;523419752;0;6534;GFA;GFA FAMILLE MUNIER-LEFLOT;2020;LES ROMPEES;46.87867, 3.127671;Propriétaire;Personnes morales non remarquables;Groupement foncier agricole;Landes;200071017;CC des Terres d'Auxois;27;Bourgogne-Franche-Comté;Côte-d'Or
21;0;21107;BRETIGNY;;ZC;0034;;;00001;B001;;LES ALLOUERES;8162;;CH;8162;G;P9MBFT;552049447;9;5599;SA;SOCIETE NATIONALE SNCF;2020;LES ALLOUERES;48.714585, 2.398493;Gérant, mandataire, gestionnaire;;SA à conseil d'administration (s.a.i.);Chemins de fer, Canaux de Navigation;200069540;CC Norge et Tille;27;Bourgogne-Franche-Comté;Côte-d'Or
16;0;16400;VERTEUIL-SUR-CHARENTE;;C;0908;;;00003;B003;;LES BERTODRIES;5113;;T;5113;P;PBCSQV;483259248;0;6540;SCI;SCI RONTET;2020;LES BERTODRIES;45.968257, 0.203765;Propriétaire;Personnes morales non remarquables;Société civile immobilière;Terre;200043016;CC Val de Charente;75;Nouvelle-Aquitaine;Charente
21;0;21287;FRESNES;;ZD;0110;;;00011;B011;;CHAMP ROUGEOT;224100;BJ;T;2800;P;PBC9MZ;403197825;0;6534;GFA;DE CHAMP MERLIN;2020;CHAMP ROUGEOT;47.435555, 1.391442;Propriétaire;Personnes morales non remarquables;Groupement foncier agricole;Terre;242101491;CC du Montbardois;27;Bourgogne-Franche-Comté;Côte-d'Or
21;0;21228;DETAIN-ET-BRUANT;;AC;0042;;;00059;B059;;LE POISET;2382;A;J;1648;P;PBCL9F;348079971;0;6597;SCEA;DOMAINE PRIEURE ROCH;2020;LE POISET;47.160818, 4.795588;Propriétaire;Personnes morales non remarquables;Société civile d'exploitation agricole;Jardins;200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;27;Bourgogne-Franche-Comté;Côte-d'Or
16;0;16337;SAINT-MAURICE-DES-LIONS;;I;0120;;;00098;B098;;LA CHARPRADE;6360;;BT;6360;P;PBC3VZ;096380373;0;5530;;SOCIETE DAMENAGEMENT FONCIER ET DETABLISSEMENT RURAL NOUVE;2020;LA CHARPRADE;45.977042, 0.651252;Propriétaire;Personnes morales non remarquables;SA d'aménagement foncier et d'équipement rural (SAFER) à conseil d'administration;Taillis simples;200072049;CC de Charente Limousine;75;Nouvelle-Aquitaine;Charente
21;0;21308;GRIGNON;;ZH;0182;;;00038;B038;;AU DESSUS DE REUILLON;1036;;BT;1036;P;PBC6ZV;U22003706;0;6599;SC;GROUPEMENT FONCIER AGRICOLE CERES;2020;AU DESSUS DE REUILLON;;Propriétaire;Personnes morales non remarquables;Autre société civile;Taillis simples;242101459;CC du Pays d'Alésia et de la Seine;27;Bourgogne-Franche-Comté;Côte-d'Or
21;0;21661;VELARS-SUR-OUCHE;;A;0039;;;00072;B067;;BOIS DU CHEMIN BLANC;13400;;BS;13400;P;P99999;U23730900;1;7113;ETAT;ETAT PAR DIRECTION DE L IMMOBILIER DE L ETAT;2020;BOIS DU CHEMIN BLANC;47.313972, 4.912645;Propriétaire;État;Ministère;Taillis sous Futaies;200039055;CC Ouche et Montagne;27;Bourgogne-Franche-Comté;Côte-d'Or
16;0;16015;ANGOULEME;;CI;0117;9001;;00723;3080;RUE;DU PERE MARQUETTE;4464;L;S;500;P;PBBF4Q;U26027987;0;9900;;STE L EVEQUE PDT EGLISE JESUS CHRIST DES ST DU DERNIER JOUR;2020;9001  RUE DU PERE MARQUETTE;45.636798, 0.151634;Propriétaire;Personnes morales non remarquables;Autre personne morale de droit privé;Sols;200071827;CA du Grand Angoulême;75;Nouvelle-Aquitaine;Charente
21;0;21065;BESSEY-EN-CHAUME;;A;1046;;;00007;B007;;BOIS CHAMBARD;10852;;BS;10852;P;PBCGTG;212100655;4;7210;COM;COMMUNE DE BESSEY EN CHAUME;2020;BOIS CHAMBARD;47.08894, 4.730092;Propriétaire;Commune;Commune et commune nouvelle;Taillis sous Futaies;200071207;CC de Pouilly-en-Auxois/Bligny-sur-Ouche;27;Bourgogne-Franche-Comté;Côte-d'Or
21;0;21485;PLOMBIERES-LES-DIJON;;AW;0136;;;00030;B029;;COMBE AUX OEUFS;1470;;T;1470;P;P99999;U23730900;1;7113;ETAT;ETAT PAR DIRECTION DE L IMMOBILIER DE L ETAT;2020;COMBE AUX OEUFS;47.329896, 4.983093;Propriétaire;État;Ministère;Terre;242100410;Dijon Métropole;27;Bourgogne-Franche-Comté;Côte-d'Or
16;0;16097;CHERVES RICHEMONT;;A;0147;;;00110;B110;;CHATEAU CHESNEL;10590;;BP;10590;P;PBCN7K;391928009;0;6534;GFA;DU CHATEAU CHESNEL;2020;CHATEAU CHESNEL;45.751957, -0.367713;Propriétaire;Personnes morales non remarquables;Groupement foncier agricole;Peupleraies;200070514;CA du Grand Cognac;75;Nouvelle-Aquitaine;Charente
21;0;21395;MASSINGY-LES-VITTEAUX;;AB;0130;;;00060;B060;;LE VILLAGE;333;;L;333;P;PBC6JD;212103956;4;7210;COM;COMMUNE DE MASSINGY-LES-VITTEAUX;2020;LE VILLAGE;47.399342, 4.581384;Propriétaire;Commune;Commune et commune nouvelle;Landes;200071017;CC des Terres d'Auxois;27;Bourgogne-Franche-Comté;Côte-d'Or
21;0;21384;MAREY-LES-FUSSEY;;ZB;0079;;;00034;B034;;LA COMBE LAMBOIS;4090;;S;4090;P;PBDNJF;212103840;4;7210;COM;COMMUNE DE MAREY LES FUSSEY;2020;LA COMBE LAMBOIS;47.127106, 4.905408;Propriétaire;Commune;Commune et commune nouvelle;Sols;200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;27;Bourgogne-Franche-Comté;Côte-d'Or
16;0;16212;MASSIGNAC;;E;0875;;;00061;B061;;LES PELEES;1456;;BT;1456;P;PBBBK7;211602123;4;7210;COM;COMMUNE DE MASSIGNAC;2020;LES PELEES;45.785231, 0.657099;Propriétaire;Commune;Commune et commune nouvelle;Taillis simples;200072049;CC de Charente Limousine;75;Nouvelle-Aquitaine;Charente
21;0;21508;PRENOIS;;A;0010;;;00010;B010;;BOIS DE RABOT;155691;;BS;155691;P;PBDJF6;538374695;0;6536;GFO;GROUPEMENT FORESTIER DU BOIS DE RABOT;2020;BOIS DE RABOT;44.731208, 0.051121;Propriétaire;Personnes morales non remarquables;Groupement forestier;Taillis sous Futaies;200039063;CC Forêts,Seine et Suzon;27;Bourgogne-Franche-Comté;Côte-d'Or
21;0;21255;ETAULES;;ZB;0026;;;00027;B027;;DESSUS DES COTES;272;;L;272;P;PBCCGT;212102552;4;7210;COM;COMMUNE D ETAULES;2020;DESSUS DES COTES;49.832711, 1.181639;Propriétaire;Commune;Commune et commune nouvelle;Landes;200039063;CC Forêts,Seine et Suzon;27;Bourgogne-Franche-Comté;Côte-d'Or
16;0;16357;SAINT-VALLIER;;C;1283;;;00107;B107;;LA PEROTRIE;1633;;BT;1633;P;P9999Y;412280737;9;5599;SA;SNCF RESEAU;2020;LA PEROTRIE;45.045323, 5.050494;Propriétaire;;SA à conseil d'administration (s.a.i.);Taillis simples;200029734;CC des 4B Sud Charente;75;Nouvelle-Aquitaine;Charente
21;0;21341;LANTILLY;;B;0371;0002;;00096;0360;PL;DU POIGET;500;;S;500;P;PBCXGL;212103410;4;7490;;COMMUNE DE LANTILLY;2020;0002  PL DU POIGET;47.545194, 4.375961;Propriétaire;Commune;Autre personne morale de droit administratif;Sols;200071017;CC des Terres d'Auxois;27;Bourgogne-Franche-Comté;Côte-d'Or
